#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
895233000 ; 3.5752 ; 3.302 ; 0 ; 0
895326000 ; 3.59225 ; 3.30299 ; 0 ; 0
895414000 ; 3.56912 ; 3.30231 ; 0 ; 0
895509000 ; 3.58494 ; 3.30177 ; 0 ; 0
895597000 ; 3.56668 ; 3.30193 ; 0 ; 0
895685000 ; 3.58007 ; 3.30055 ; 0 ; 0
895773000 ; 3.57642 ; 3.30231 ; 0 ; 0
895874000 ; 3.57642 ; 3.30185 ; 0 ; 0
895972000 ; 3.56912 ; 3.30185 ; 0 ; 0
896070000 ; 3.55938 ; 3.30345 ; 0 ; 0
896170000 ; 3.56059 ; 3.30193 ; 0 ; 0
896271000 ; 3.58251 ; 3.30193 ; 0 ; 0
896369000 ; 3.62268 ; 3.30162 ; 0 ; 0
896465000 ; 3.58981 ; 3.30078 ; 0 ; 0
896555000 ; 3.59833 ; 3.30215 ; 0 ; 0
896639000 ; 3.56059 ; 3.30055 ; 0 ; 0
896737000 ; 3.56425 ; 3.30132 ; 0 ; 0
896827000 ; 3.60686 ; 3.3007 ; 0 ; 0
896921000 ; 3.57033 ; 3.30048 ; 0 ; 0
897011000 ; 3.55938 ; 3.30238 ; 0 ; 0
897099000 ; 3.58129 ; 3.30093 ; 0 ; 0
897189000 ; 3.58494 ; 3.30147 ; 0 ; 0
897285000 ; 3.58981 ; 3.30055 ; 0 ; 0
897388000 ; 3.56303 ; 3.30116 ; 0 ; 0
897488000 ; 3.57399 ; 3.30086 ; 0 ; 0
897579000 ; 3.57399 ; 3.30162 ; 0 ; 0
897668000 ; 3.57764 ; 3.30124 ; 0 ; 0
897758000 ; 3.60077 ; 3.30406 ; 0 ; 0
897846000 ; 3.56303 ; 3.30101 ; 0 ; 0
897936000 ; 3.59833 ; 3.30208 ; 0 ; 0
898026000 ; 3.58007 ; 3.30093 ; 0 ; 0
898115000 ; 3.57155 ; 3.3017 ; 0 ; 0
898211000 ; 3.56912 ; 3.30322 ; 0 ; 0
898303000 ; 3.5679 ; 3.3007 ; 0 ; 0
898400000 ; 3.61781 ; 3.3007 ; 0 ; 0
898490000 ; 3.58129 ; 3.30147 ; 0 ; 0
