#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
2198769000 ; 4.55647 ; 3.30177 ; 0 ; 0
2198872000 ; 4.90101 ; 3.30162 ; 0 ; 0
2198960000 ; 4.91806 ; 3.30322 ; 0 ; 0
2199058000 ; 4.55891 ; 3.30139 ; 0 ; 0
2199149000 ; 4.88762 ; 3.30208 ; 0 ; 0
2199241000 ; 4.89614 ; 3.302 ; 0 ; 0
2199330000 ; 4.92049 ; 3.30276 ; 0 ; 0
2199428000 ; 4.88032 ; 3.3017 ; 0 ; 0
2199526000 ; 4.90101 ; 3.30223 ; 0 ; 0
2199617000 ; 4.89736 ; 3.30162 ; 0 ; 0
2199706000 ; 4.82188 ; 3.30246 ; 0 ; 0
2199793000 ; 4.89249 ; 3.30124 ; 0 ; 0
2199890000 ; 4.89614 ; 3.30147 ; 0 ; 0
2199985000 ; 4.89736 ; 3.30208 ; 0 ; 0
2200075000 ; 4.87058 ; 3.30383 ; 0 ; 0
2200172000 ; 4.79266 ; 3.30132 ; 0 ; 0
2200270000 ; 4.87545 ; 3.30223 ; 0 ; 0
2200367000 ; 4.88884 ; 3.30231 ; 0 ; 0
2200462000 ; 4.8791 ; 3.30246 ; 0 ; 0
2200560000 ; 4.53578 ; 3.30185 ; 0 ; 0
2200657000 ; 4.89493 ; 3.30162 ; 0 ; 0
2200742000 ; 4.79022 ; 3.302 ; 0 ; 0
2200833000 ; 4.86936 ; 3.30124 ; 0 ; 0
2200929000 ; 4.89371 ; 3.30177 ; 0 ; 0
2201025000 ; 4.56013 ; 3.30215 ; 0 ; 0
2201113000 ; 4.91441 ; 3.30116 ; 0 ; 0
2201210000 ; 4.58326 ; 3.30132 ; 0 ; 0
2201308000 ; 4.82797 ; 3.302 ; 0 ; 0
2201392000 ; 4.733 ; 3.30147 ; 0 ; 0
2201489000 ; 4.9071 ; 3.30376 ; 0 ; 0
2201588000 ; 0.000563849 ; 3.30208 ; 0 ; 0
2201676000 ; 0.000106086 ; 3.3017 ; 0 ; 0
